date,horoscope,month,star_sign,year
15,"Traffic in your neighborhood could be congested beyond anything you've seen before. Perhaps an accident or road construction is blocking the street. It may be nearly impossible to get anywhere by car, even the grocery store. If you must go out, either walk or ride a bike or it might take an hour to do what would normally take a few minutes. Better yet - stay home!",10,aries,2017
16,"Cupid may have struck you unawares. Your libido could be in high gear today and you're ready for love. You look and feel great. Try your best to reach the one you love. If it isn't possible to get together this evening, see if you can plan a romantic interlude soon. If all else fails, dive into a romance novel and escape that way.",10,aries,2017
17,"You have a gentle way of expressing yourself to your loved one. It isn't your style to make grand gestures or buy extravagant gifts. You prefer to spend quality time together, talking and cuddling. Today you may be in an unusually romantic mood and confess the depth of your feelings. This will have just the effect you hope for!",10,aries,2017
18,"If you're single, you might long for a romantic partner today. If you're attached, you might think of making your commitment more permanent. If you're married, children might be on your mind. Whatever your situation, and whatever it is you're searching for now, look your best when encountering current or potential partners. You'll probably get the response you want!",10,aries,2017
19,"You're likely to feel pulled in two directions today. You're at a high point in your career and don't want to lose the momentum. At the same time, you feel strongly that you'd like to spend extra time with your loved ones. If only you could be in two places at once! Have you considered telecommuting for the next few weeks? Your family would enjoy having you around.",10,aries,2017
20,"You're feeling especially sensitive today. Your intuition is operating at a very high level. With people wearing their hearts on their sleeves now, it's very easy to tap into others' emotions. You and your mate are especially in sync, which will make for a wonderful evening. Take advantage of the aspects and broach a sensitive subject you've wanted to discuss.",10,aries,2017
21,"Your hard work is finally paying off. You can expect to receive acknowledgement and advancement, along with a possible salary increase or substantial bonus. You should receive the good news soon. Celebrate tonight with family and friends. They could also have some good news of their own to report, which makes for happiness all around.",10,aries,2017
22,You could feel a great deal of pressure from the people around you to join in their festivities. Perhaps you're being lured into the frenzy of activity. Don't feel like you have to be a part of the party if you don't want to be. The worst thing for you to do would be to pretend that you're interested when you aren't.,10,aries,2017
23,"Your writing and speaking abilities are operating at a high level today. If you've been thinking about pursuing either of these avenues, starting now gives you an advantage toward attaining success. Make a start and get your ideas down on paper, however rough they may be. The only downside is the stress that might result from the sudden stimulation.",10,aries,2017
24,"The more action you take today, the bigger the hole you're apt to dig for yourself. You could be engaged in one of those situations in which you say one thing and then are forced to stretch the truth or outright lie in order to defend your point. You're then put in a very vulnerable position. Try your best to avoid this trap.",10,aries,2017
25,"Today's intense celestial energy will help you make progress toward your goals. Your mind will be quick and receptive and your writing and speaking abilities especially acute. You might feel that you could sell anything to anyone if you wanted to. Make the most of this intellectual power. Start new projects now. If you do, success is more than likely.",10,aries,2017
26,A long-awaited romantic encounter may be canceled or prove less rewarding than you'd hoped. Doubts about the future of this relationship could come up. This isn't the day to make any final decisions about serious matters like this. Wait a few days until you feel a little more confident and then make up your mind.,10,aries,2017
27,"Lack of contact with a close friend or romantic partner might find you feeling lonely and insecure, wondering if he or she has forgotten you or simply doesn't care to be around you anymore. This is more likely your insecurity than anything based in reality. Sometimes people are busy! Give your friend a call. Chances are the person will be very glad to hear from you.",10,aries,2017
28,"A lot of your time today could be spent working on financial matters on the computer, phone, or other form of technology. This could have to do with your job or it could concern personal finances. Whichever it is, you'll do a good job, as success in accomplishing whatever you work on is indicated. One way or another, career success is coming your way.",10,aries,2017
29,"Self-image could be a difficult issue for you. Perhaps you've painted a false picture of yourself lately. In an effort to cover your insecurity, you may not have expressed how you feel to some people. When you look in a mirror, you may find that the person you see is quite different than the person other people see. This conflict may put you in some uncomfortable situations.",10,aries,2017
30,"You may feel like a snail emerging from its shell. When no one is looking, you slowly and cautiously stick your head out and put up your antennae to take a reading on the outside world. When you see a creature like you, you feel comfortable and come out of your shell a bit more. Be careful about letting your defenses down too much, because a big, hungry bird may be looking for dinner.",10,aries,2017
31,"If you feel suffocated by your romantic relationship, if you feel it lacks spice or is too traditional, then why not liberate yourself? Today's planetary energy will help you turn even your craziest ideas into reality. Starting today, you're going to be asked to be more decisive.",10,aries,2017
1,"Some interesting dreams could come to you tonight. Don't be fooled by confusing symbolism. These dreams could shed light on business concerns you've been trying to work out. Make a list of the symbols and see what they're trying to tell you. Then if it makes sense, act on it. Your dreams are probably only revealing what your subconscious has already worked out.",11,aries,2017
2,"Your mind should be especially quick and agile today, and your curiosity will be piqued. Your pursuit of intellectual interests could lead to group activities where you meet others interested in the same subjects. A lot of information could come your way. You'll enjoy discussing it. New friendships and lines to other possible interests could come your way.",11,aries,2017
3,Plans to get together with friends tonight could be delayed by responsibilities. It won't stop you but it will mean getting together a little later. Someone close to you might feel a little down and seek a sympathetic ear. Try to get this person to forget his or her insecurities and see the situation as it is.,11,aries,2017
4,"A call from a close friend or love partner could bring good news today. You'll be so happy about it that you'll want to get word out to everyone you know. This could involve romance or it might concern a creative project of some kind, perhaps involving writing and speaking. In the evening you'll probably want to go out and celebrate with the person who brought you the news.",11,aries,2017
5,"If you've felt the desire to write something, now is the time to do it. You certainly don't lack imagination. Your problem may be that you have difficulty taking your prose seriously. Don't think so seriously about being ""a writer."" Just write and let people read what you write. A writer's group would be a great way for you to come out of hiding.",11,aries,2017
6,"Job stress might be getting to you. Drinking a lot of water would be a good idea. Moderate amounts of exercise and rest are also indicated. Don't eat very spicy foods. This is a good day to catch up on reading, studying, or research. Your physical self may not be what it should be, but your brain is sharp.",11,aries,2017
7,You might be jumping around today. This is one of those situations in which you don't want to stay in one place for too long. Each place is an individual step that leads to where you want to go. Keep your eyes focused ahead and keep on going. Stagnating will leave you lost in the middle of nowhere.,11,aries,2017
8,"Tension in the romance department may arise for you. You want to get things started in a relationship that's important to you, yet something always seems to stand in the way of the plan. Instead of trying to sidestep your way into the picture, take a direct approach. If you don't try, you're just as bad off as if you'd tried and failed. Go for it.",11,aries,2017
9,"You may be indirectly affected by a struggle. A heated debate having to do with mistaken communication and extreme emotions might devastate your psyche unless you keep up your defenses. The acting planetary energy is forming an arena for emotional turmoil. Whether you want to or not, you're probably going to get sucked into it.",11,aries,2017
10,You could have some very strange yet beautiful dreams today. Write them down. They're trying to tell you something. You could also make an off-the-wall plan to increase your income that may or may not work. Consider all the aspects of your plan and get in touch with the reality of it before delving too far. It might be workable but not in the ways you think now.,11,aries,2017
11,"Romance might take a front seat in your thoughts today. You could have some unusual dreams tonight. They might be romantic or they could prove artistically inspiring, or both. Write them down, for they may reveal new facts about you that could make a difference. Your thoughts about money could sway between confidence and panic. Don't lose sight of the facts!",11,aries,2017
12,Indulge your sensual nature today. This part of your being doesn't get expressed regularly. Go for a long walk with someone you love. Light some candles in your bedroom or take a leisurely hot bath. Tastes and smells are extra potent for you now. Enjoy a romantic dinner for two. Don't get so caught up in the intellectual aspect of things that you forget about the sensuous side of life.,11,aries,2017
13,"Are you planning to attend a lecture or workshop? This is a good day for it. Your mind and emotions are working together to bring insights your way. Your common sense is operating at a very high level, so this is also a good day to make practical decisions. Communication with those who share your interests should be both gratifying and enlightening.",11,aries,2017
14,"It may be hard to find your mental and physical home base. Your mind could be wrapped in a cloud or some sort of imaginative time warp, so be careful how you proceed. Your head is in another dimension and you aren't paying nearly enough attention to the road ahead of you. Get off the highway and let your mind wander in a place where it's safe to do so.",11,aries,2017
15,"You may feel emotionally good but the more you express yourself the more critical others become of your sensitivity. Unfortunately, you may clam up under such circumstances. Hang onto the fact that you have something valuable to teach, but other people aren't ready to learn. Try not to take it personally.",11,aries,2017
16,Take a more adaptable approach. Go with the flow and let things merge on the foundation that has already been established. You're holding on tightly to a security blanket. This tattered piece of cloth gives you peace. The threat of losing it frightens you. It's time to throw it away and know you're better off operating without that extra burden.,11,aries,2017
17,"Work and career matters could finally bring you the success and good fortune you've been hoping for. This may be acknowledgement for effort and dedication as well as hard work. Expect a raise, and increased respect and status among friends and co-workers. Don't celebrate so much that you suffer the effects of overindulging!",11,aries,2017
18,Sudden insights and revelations could enable you to make some long-desired changes. A lucky break might bring an unexpected sum of money your way. Unusual dreams could amuse you during the night. Keep track of them as they might contain messages that can help you accomplish whatever you want to do. This is a day of fortunate developments and pleasant surprises.,11,aries,2017
19,"Love, affection, and romance seem to be all around you. Strong unity with close friends, family members, and your romantic partner may well up throughout the day. You can also expect a rush of imagination and artistic inspiration, perhaps generated by the support of those around you. Any relationships formed now will last a long time. Recall this day when times get tough.",11,aries,2017
20,"Short trips and long talks with your special someone are on the agenda today. You may decide to drive into the country, perhaps to visit quaint shops and rustic restaurants. A confusing call could come from an acquaintance this evening. The person won't seem to be telling you anything yet expect some kind of feedback. Don't be afraid to ask for an explanation!",11,aries,2017
21,"Don't give up on finding the romantic partner of your dreams, because now is your chance. Talk is spurring you to take action. Don't be surprised if a bit of friction keeps you from jumping into the situation with both feet. Hang in there. Once you get below the surface, you'll find that there's much more to this person than first meets the eye.",11,aries,2017
22,"Today you might be in the right mood to organize. High-tech equipment may be of help in this project, and so could the help of friends. An optimistic, enthusiastic attitude will sustain you through any tasks. You will be more than happy with what you've accomplished by day's end. Treat yourself. Go out and celebrate - you deserve it!",11,aries,2017
23,"Your association with a group could enable your spiritual progress today. Past emotional issues could come up, but don't despair. Look at it as an opportunity to release old traumas that have limited you. Transcending limitations of any kind - emotional, spiritual, or physical - is an especially productive approach. You'll release a lot and come out of the experience with new focus.",11,aries,2017
24,"You'll probably feel a little lost today. You'll have to come to a decision in the near future, and your life will be greatly affected by it. Should you listen to your desires? Should they be in charge of your life? Or should you try to rein in your feelings and take the more practical route? It's something to think about.",11,aries,2017
25,"You have a pleasant day ahead. People may be a little less playful, but they'll be all the more caring in their relationships. That's just how you like them! Everything is on your side for you to express your feelings to someone close. Do it now! This atmosphere will only last a few days.",11,aries,2017
26,"Expect to get some fabulous news today. You'll finally get your due. It may be a promotion, raise, challenging new project, or some combination of these. You could also receive good news in the romance department. You have certainly made the effort, some of it superhuman. Now you'll be rewarded. Accept with your usual aplomb and style any gifts the day brings.",11,aries,2017
27,"You're probably doing better financially than you have for a long time, but you still might not have reached some of the monetary goals you'd set. This could be on your mind today. If you aren't careful, you could work yourself into a frenzy. It might be more productive to calmly find a way to progress more quickly. You can do it.",11,aries,2017
28,"You're especially attuned to the feelings of others. This gift is more blessing than curse, yet there are times when it's hard not to take on the troubles of others. Today a close friend may unload his or her burdens on you. Listen kindly, offer advice, but don't offer to do more than is realistic. After all, this isn't your problem.",11,aries,2017
29,Information you receive from friends could have you worrying a little about your financial security. You may be trying to reach a goal that seems to be in jeopardy - if the news you've heard is true. It may not be! Check the facts before jumping to conclusions and panicking. You could find that there's nothing to worry about.,11,aries,2017
30,"Out with the old and in with the new! That seems to be your mantra for the day, especially where your home is concerned. Your energy and motivation are high. If anyone can execute a complete one-day redecoration, you can. But even you can get hurt when trying to move a sofa by yourself. Enlist help, but be careful not to work them too hard. Not everyone has your energy!",11,aries,2017
1,"You may be feeling way too serious at the moment. Whether you know it or not, you're in dire need of cheering up. If someone invites you to a comedy club, go. It may take you a while to get into it, but you'll end the evening laughing. It will be the best night of your month. If you can, stop second-guessing yourself.",12,aries,2017
2,"Your mood will be up and down and back and forth over the course of the day. You're riding high from the past couple days, and you feel more bonded with the people at your side. You feel a nurturing love from someone who's keeping your heart happy and your mind at ease. Toward the end of the day you may feel that people aren't as sincere as they seemed at first. Stay on guard.",12,aries,2017
3,"There's intensity in your relationships now, and you may feel like every situation is life-or-death. Calm those voices in your head. Meditate, take a yoga class, and breathe deeply. Know that nothing is really as dramatic as it seems. This, too, will pass. In a few days you'll be able to laugh your worries away.",12,aries,2017
4,"A separation from the special someone in your life, perhaps because of a minor disagreement, could have you feeling melancholy today. You could receive an invitation to a get-together but be unlikely to want to go. You're feeling more reserved and introverted than usual. Oddly enough, being with others is probably the best way to get your mind off your friend.",12,aries,2017
5,Dreams and meditation could bring up deep-seated emotions from the past that have been blocking your growth without your realizing it. Both seeking and giving forgiveness may take on new importance. Romantic passion should be at an all-time high. These emotions are also likely to provide artistic inspiration that you want to turn toward decorating your home.,12,aries,2017
6,"A long-term dream toward which you've been working for a long time, could finally show signs of coming true. You're feeling especially energetic and enthusiastic now, so you might feel motivated to give it one last push to finally make your dream reality. You'll probably go out with friends or members of a group you belong to and celebrate tonight.",12,aries,2017
7,Your current paradigm may get shifted a bit. There's a good chance that your emotions will go through a significant transformation today. Your mind may be spinning. Don't get caught up in the mental maelstrom. You can cut through the jargon that your mind may be feeding you by relying on your sixth sense - your keen intuition - for the answers you seek.,12,aries,2017
8,"This will be an excellent day to start some of the projects you've held back for some time. You'll likely feel more physical and mental energy than you've experienced lately. Whether your day is filled with work or play, things are going to go great. You can tackle tasks with confidence. Be productive by giving your energy a place to go.",12,aries,2017
9,"Once you have your feelings under control, you can be more expansive in other parts of your life. You can branch out, reach toward others, and make important connections that will help move you toward success and good fortune. There's opportunity available to you today, so don't blow it by letting your emotions get the better of you!",12,aries,2017
10,"A night of troubled sleep and strange dreams might have you feeling listless and lacking in motivation. Pull yourself together. Opportunities may come your way that you'll want to take advantage of. You'll come up with some interesting new ideas. Your energy level could go up and down, however. Eat properly and stay focused in order to make the most of the planetary energies.",12,aries,2017
11,"You may have been gloomy lately, but today should restore your good spirits. You can embark on your journey with full confidence in its astrological aspects. You'll be even more attractive than usual, and people will find your charm irresistible. There's the promise of many rewarding experiences in your career and love life!",12,aries,2017
12,"The current astral configuration could be described as a crisis phase, although today's events won't be unhappy. Communication proves difficult for you. For a long time you've been banking on others noticing and appreciating your talent, but you're beginning to feel like a sucker for being so patient. This would be a good day to confront the powers that stand in your way.",12,aries,2017
13,"There's some possibility that in the past month or so you've been hesitant about your commitments, as if you'd been in suspended animation. Perhaps you became aware of errors you'd made in the past and were afraid you'd repeat them. Now that you're conscious of the past, you can and will face the future with more confidence.",12,aries,2017
14,Communication with family members and the special person in your life could be frustrating today. Either you aren't in accord or you keep missing each other. Don't be frustrated. It's the planetary energy running a little interference. By tomorrow this aspect will have passed and you'll once again find yourselves on common ground.,12,aries,2017
15,"Is your financial situation confusing? Are you starting to panic about it? You may be getting worked up over nothing. Get all your paperwork together, focus on the facts, and see what's really happening. Once you consult the actual figures and go over them a few times, you should find that you can handle the situation.",12,aries,2017
16,"Today a piece of information for which you've been searching could become known. Your money management skills might be called upon to help out a friend or perhaps a family member. You're likely to have some good pointers to pass on, and gratitude should be forthcoming. Put your nose to the grindstone and get going!",12,aries,2017
17,Don't take anything too seriously today. People may be careless with their words and end up hurting feelings or even breaking hearts. Don't read too deeply into what's said. Your overanalyzing of the situation could lead you to suspect scenarios that have no basis in reality.,12,aries,2017
18,"Try to keep your emotions in check today. It's possible that you could become extremely angry and do some damage to yourself and others around you. It's important to maintain certain modesty and humility at all times. You'll build good character that earns the respect of others, including your superiors.",12,aries,2017
19,"This is a much better day to get out and be with people than it is to sit at home. Communicate with others on a personal level and share some of your wisdom. At the same time, open yourself up to receiving important knowledge from others. Don't take things too seriously. No one will be in the mood for deep conversation on a day like today.",12,aries,2017
20,"Attend to your home today and take care of chores. Clean the floor, do laundry. Make lists and stick to them. You may notice that there is a strong grounding feeling to the day that helps you stay on task. Efficiency is the name of the game. You're likely to experience a surge of progress in your work that comes when your emotions are grounded.",12,aries,2017
21,It would be best to do some deep meditation today. Connection with your inner space is incredibly valuable. Realize that great transformation comes when you release control. Let things flow smoothly and don't worry so much about organizing and planning all of your actions. Keep things simple and easy. An overall understanding of the situation will come naturally.,12,aries,2017
22,"A serious day lies ahead. It feels a bit lonely as all those around you concentrate on their own needs in silence and isolation. But you'll enjoy a great feeling tonight after you solved so many problems and gotten so much done. Ultimately, this will be a very positive day, one you will end feeling very proud of yourself!",12,aries,2017
23,"While you may be comfortable with your environment, you could receive an unmistakable signal that it's time for change. This could involve a different job, allowing you to make use of skills and talents that have been lying fallow. Don't let small but necessary tasks make you abandon a new course of action. It represents a vital stage in your personal growth.",12,aries,2017
24,"Sometimes friends become your real family. Your friendships are deeper and more enduring than you realize. Many people are eager to give their help, so why are you reluctant to receive it? Haven't you been the one promoting the benefits of warm, sincere friendships? Today makes you aware of your talents and reinforces how important friendships are.",12,aries,2017
25,It may be hard to come to grips with your emotions today. You may be flightier than usual. Realize that this is to your advantage. Come out of the quicksand and take a breath of fresh air. An upbeat attitude is critical to making progress in anything you undertake. Find the answers you seek in conversations with others.,12,aries,2017
26,You're in the process of changing directions in your professional life. This can't be done in a day. It's sometimes painful. Things will be going slowly and require you to think and confront yourself honestly. Don't run away even if you're tempted to do so. Trust that you aren't far from your goal.,12,aries,2017
27,"The mood is oppressive and heavy today. Some disappointments will crop up here and there if you have to prove yourself in any way, either privately or professionally. There is some likelihood you'll feel angry with someone important to you. Don't yield to your negative feelings too quickly. It would be bad for your morale.",12,aries,2017
28,"You're having a difficult time connecting with your emotions today. Things will run more smoothly if you don't try to force yourself to act cheerful if you aren't. Be honest about your emotions. If you're feeling restless or negative, keep it to yourself. Go for a walk, preferably near water, and indulge in a good healthy meal.",12,aries,2017
29,"Have you been thinking about remodeling or redecorating your home? If so, this is the day to do it. Your energy and aesthetic sense are high today. Enlist the aid of family members in planning colors, styles, and arrangements. A lot of activity may go on in and around your home, and you'll be enthusiastic. Make sure on one works to the point of exhaustion.",12,aries,2017
30,"Today is a great day for you in which you should enjoy a great deal of playful conversation with others, Aries. Fantasy is likely to play a large role in the events of the day, and you may find yourself daydreaming as you walk down the street. Don't bother with reality today if you don't have to. You're much better off keeping the tone light and playful. Enjoy your fantasy world and feel free to invite others into it.",12,aries,2017
31,"You may have your ups and downs today, Aries. You could get at least one phone call of the ""good news, bad news"" variety, and this could have your moods swinging back and forth like a pendulum. Try to stay centered. Take the good news as encouragement, and as for the bad news, try to consider it objectively and figure out ways to turn it to your advantage. There's always a way. Hang in there!",12,aries,2017
1,"This is a great day to start any project that concerns writing, acting, or speaking, Aries. Your creative energies should be flowing freely and abundantly today, and you should enjoy the rush of new ideas that keep popping into your head. A number of stimulating conversations with close friends should keep your energies churning. Expect to spend a lot of time on the phone, or perhaps in the car dropping in on these friends. Enjoy your day!",1,aries,2018
2,"Don't take anything at face value today, Aries, especially if it involves money. It's likely that a friend or colleague will approach you with a deal that is too good to pass up. Don't let yourself get caught up in the promise of quick riches. Any deal that is presented as ""too good to be true"" usually is. Take in the information and review it at a later time. You will find that flaws are revealed once cooler heads prevail.",1,aries,2018
3,"You may find yourself thinking of looking for a new job in order to increase your income, Aries. But there is probably no need to take such a drastic step. It's possible that your boss has been considering giving you a raise - you may soon be pleasantly surprised. If your money concerns are only short-term, consider asking a family member for a loan at a low interest rate. Once you're back on your feet, you'll be able to pay it off in no time.",1,aries,2018
4,"While you may feel the urge to put on a pair of boxing gloves and duke it out with your family, Aries, try putting on an oven mitt instead. Cooking a meal or performing other domestic chores will help take your mind off your troubles with your family. If you aren't the domestic sort, exchange the mitt for some reading glasses and bury yourself in your work. These tensions on the home front will pass quickly enough.",1,aries,2018
5,"Someone close to you might not be feeling very well, Aries, and you might feel the need to remain nearby and take care of this person. By all means do this. However, bear in mind that your empathic abilities are operating at a very high level today, and therefore you could actually experience some of their discomfort. Be sure to protect yourself psychically by keeping the white light around you if you want to avoid feeling ill yourself.",1,aries,2018
6,"You're apt to be in a very joyous mood today, Aries, and it's going to show on your face. This isn't going to go unnoticed by the people you meet. You could make some new friends, and, if you aren't currently romantically involved, you might actually meet an interesting potential love partner. This person is apt to be very polite and polished, not to mention smart! Be cordial, be nice, and enjoy your day.",1,aries,2018
7,"It's another potentially anxious day ahead, Aries. But you have the power to soothe your ruffled feathers. Physical activity of any sort will calm you down considerably. Even a quick walk around the block will be of benefit. A calmer disposition in the afternoon makes it easier for you to handle favors and requests with your customary grace. If you need to, you can ""disappear"" for a few hours early in the afternoon and take in a movie.",1,aries,2018
8,"Gloom over the absence of a family member or romantic partner could come upon you today, Aries, and your usually exuberant nature could be far more subdued than is normal for you. You might even spend the entire evening watching whatever happens to be on TV. It would be far more productive if you treated yourself to a trip to the bookstore and picked up some new reading material. At least you'll learn something while your partner is away!",1,aries,2018
9,"Once begun is half done, as the saying goes. This certainly applies to you today, Aries. Yes, it's true that you have a considerable amount of work ahead of you, but surely you know that you can get it done. Trite as it may sound, making a list (no, you don't have to check it twice) will help you break the projects down into manageable chunks. It's so much easier to focus only on the next step rather than the entire Herculean task.",1,aries,2018
10,"A close friend or love partner may not be returning your calls, Aries, and your insecurities could well get the best of you, causing you to think your friend doesn't care anymore. Don't fall into this trap. Your friend is probably surrounded by a lot of demanding people who need assistance, and therefore isn't phoning anybody else. Be patient, distract yourself, and give your friend another call tomorrow. The response should be more immediate then!",1,aries,2018
11,"The opportunity to take a trip by air, perhaps at someone else's expense, could come to you today, Aries. This might be business related or it could be educational in some way. This is a good day to travel or make the arrangements for it. The journey promises to be an exciting one that you'll remember for a long time. Do what you have to in order to get it all together and then go for it! Enjoy your day.",1,aries,2018
12,"This is a good day for meditation or spiritual studies of some kind, Aries. Your intuition should be operating at a very high level and thus it's going to be easier for you to tune in to the thoughts, feelings, needs, and desires of others, particularly the opposite sex. You might even experience psychic insights or visions that shed light on some questions you've been asking yourself for a while. Write down your thoughts. You'll want to remember them.",1,aries,2018
13,"Perhaps it's best if you stay away from your current love partner today, Aries. Your friend is having some very draining hassles with family and on the job and won't be in the best of moods. If the two of you get together, you might find your partner in a surly and uncommunicative mood, and you might be the recipient of some unkind words. Either be prepared to deal with it or do something else tonight.",1,aries,2018
14,"Your mind always tends to be quick and agile, Aries, but today you might find it going a thousand miles an hour as a result of intriguing new information received through books, newspapers, television, or the Internet. Discussions with others could also contribute. You might decide to embrace some innovative new concepts that could lead to an expansion of your horizons. At some point, go for a workout. You need to balance the mental with the physical.",1,aries,2018
15,"Group activities and social events excite your passions today, Aries. You'll meet lots of new people, take on some interesting new projects, and, if you haven't already, you might even fall in love. A number of fascinating ideas exchanged at these events might propel you into a new course of study. Partnerships of any kind formed today stand a powerful chance of succeeding. In the evening, go to dinner with your new friends.",1,aries,2018
16,"Unexpected premonitions and gut feelings might prove too strong for comfort, Aries, especially if they sense upcoming events that aren't all that pleasant. These feelings are sent to you not to worry you or cause upset but to give clues as to how to deal with the possibilities. You may also have to deal with your own self-doubt. Dig in, do what you can, and assure a positive outcome. Remember, it's possible to spin straw into gold!",1,aries,2018
17,"Generally you tend to let paperwork go, Aries, but today the necessity of handling budgeting and financial matters could force you to sit down and get it all done. However, where money and other resources are concerned, you're apt to be especially practical and efficient, so don't be surprised if you sail right through it and get it done well. Other paperwork, such as your own writing, should go equally well. Afterward, treat yourself to a nice dinner in your favorite restaurant!",1,aries,2018
18,"An intense conversation with a close friend or romantic partner could bring you closer to this person. You probably share a number of goals, Aries, and discussions could lead to how you could work together in order to make them happen for both of you. You're more likely to take the lead, however, since your communicative abilities are particularly high right now. Put your heads together and move forward! Enjoy!",1,aries,2018
19,"You may be a specialist at manipulating concepts and ideas and using your analytical skills to understand any problem that comes your way. If this is true, Aries, people have probably already told you that thinking is fine, but there is a moment when you have to put all that thinking into practice! The position of the planets today invites you to think about this.",1,aries,2018
20,"You may have been worrying about something you did recently that you aren't very proud of. Today you'll discover that all that worrying was for nothing. The reality you've been trying to run away from lately will be right before your eyes and you'll see that it isn't so bad after all. You'll be rewarded for all your hard work, as if life were trying to give you a lesson about being optimistic. So don't be so negative!",1,aries,2018
21,"Some boring paperwork regarding money, which you may have been putting off, might need to be executed today. Bills may need to be paid, deposits put in the bank, and new accounts opened. You could spend some time formulating new plans for the future. This probably will take up a lot of your time, Aries, but there will still be enough for you to go shopping and make a few necessary purchases. Friends might accompany you. Enjoy!",1,aries,2018
